h	一
hpzz	匹
hpzz	厄
hnzn	辷
hzhs	车
hzhp	戸
hzhz	巨
hzsp	牙
hzsz	屯
hzpn	戈
hzpz	兂
hzpz	旡
hzpz	比
hzzh	互
hzzp	切
hzzn	瓦
shsh	卝
shsh	止
shzn	攴
spnp	少
spnn	尐
szhh	冃
szhh	冄
szhh	日
szhh	曰
szhs	中
szsh	円
szsz	乢
szpn	內
szpn	内
szpn	冈
szpn	水
szpn	罓
szpn	贝
szpz	见
szzn	禸
phhs	午
phhs	手
phhs	牛
phhz	毛
phhz	气
phsh	壬
phsh	牜
phps	升
phpn	夭
phpn	攵
phzn	长
pshh	仁
pshs	什
pshs	仃
pshz	片
pssn	仆
pspn	仈
pspz	仇
pspz	仉
pspz	化
pszs	屲
pszs	币
pszp	仂
pszp	仍
pszn	仅
pszn	仏
pphs	斤
ppsn	爪
ppps	丯
ppzh	戶
ppzn	反
pnhs	仐
pnhz	兮
pnss	刈
pnps	介
pnpn	仌
pnpn	从
pnpn	父
pnpn	爻
pnpz	乥
pnpz	仑
pnpz	尣
pnnp	爫
pnnn	仒
pnnz	今
pnzs	凶
pnzp	分
pnzn	乏
pnzn	公
pnzz	仓
pzhh	勻
pzhh	月
pzhs	卆
pzhp	厃
pzhz	氏
pzpp	勿
pzpn	勽
pzpn	匁
pzpn	欠
pzpn	风
pzpz	勼
pzpz	匂
pznh	丹
pznh	匀
pzzh	乌
pzzs	卬
pzzn	凤
pzzn	勾
pzzn	厹
pzzn	殳
nhsn	卞
nhps	亣
nhpn	六
nhpn	文
nhpz	亢
nhzp	方
nszh	闩
nppn	火
npzs	兯
npzn	为
nnhs	斗
nnsz	忆
nnnn	灬
nzhs	计
nzhs	订
nzhp	户
nzsn	礻
nzsn	讣
nzpn	认
nzpz	冗
nzpz	冘
nzpz	讥
nznn	心
zhhs	丮
zhhs	肀
zhhp	尹
zhsh	卐
zhpn	夬
zhpn	尺
zhzh	弖
zhzs	弔
zhzs	引
zshh	丑
zshs	卍
zshp	爿
zshz	孔
zshz	巴
zspn	队
zszp	阞
zszn	収
zpnh	丒
zpnn	刅
zpnn	办
zpzn	夃
znpn	以
znpz	允
znzs	予
znzs	邓
znzp	劝
znzn	厸
znzn	双
zzsh	毌
zzsn	书
zzph	毋
zznz	乣
zznz	幻
hhhzn	弍
hhshn	玉
hhshn	玊
hhshz	匞
hhshz	玌
hhsss	刊
hhspn	未
hhspn	末
hhspn	示
hhszs	击
hhszs	邗
hhszs	邘
hhpsn	丼
hhzpn	戋
hshhs	圢
hshhs	打
hshhz	巧
hshsh	正
hshsn	圤
hshsn	扑
hshps	卉
hshpn	圦
hshpn	扒
hshpn	扖
hshpz	圥
hshpz	扏
hshzs	凷
hshzs	卭
hshzs	壭
hshzs	邛
hshzp	功
hshzp	扐
hshzp	扔
hshzn	去
hshzn	払
hsshh	甘
hsshs	艼
hsshz	世
hsssh	丗
hssss	卌
hsspn	艾
hsspz	艽
hsspz	芁
hsszh	古
hsszs	节
hsszp	艻
hsszp	艿
hsszp	芀
hspnh	本
hspnn	术
hspnz	札
hspnz	朰
hspzn	朮
hsnss	刌
hsnzn	辻
hszhs	可
hszhz	叵
hszsz	匝
hszpn	丙
hphhs	厈
hphsh	圧
hphsh	左
hphzp	厉
hpsnh	丕
hpszh	右
hpszh	石
hpszs	布
hpphz	厇
hpnhh	夳
hpnhs	夲
hpnps	夰
hpnnn	冭
hpnzp	夯
hpnzn	厺
hpnzn	达
hpzpn	戊
hpzpn	龙
hpznn	犮
hpznz	匛
hnphs	平
hnppn	灭
hzhzz	乬
hzhzz	巪
hzshz	轧
hzspn	东
hzszz	匜
hzpzp	劢
hzzpn	戉
shhsn	卡
shhpn	仧
shhpz	北
shszh	凸
shszh	占
shpzn	歺
shzhp	卢
ssnph	业
sszhh	旧
spszs	帅
spzhh	归
snhpn	氺
szhhh	且
szhhh	旦
szhhh	目
szhhs	叮
szhhs	叶
szhhs	曱
szhhs	甲
szhhs	申
szhhz	号
szhhz	电
szhsh	田
szhsh	由
szhsn	卟
szhpn	只
szhpn	叭
szhpn	史
szhpn	叺
szhpn	央
szhpz	兄
szhpz	叱
szhpz	叽
szhzh	叼
szhzs	叩
szhzs	叫
szhzp	另
szhzp	叧
szhzp	叨
szhzp	叻
szhzn	叹
szshh	亗
szshh	冉
szshh	甴
szshs	帄
szshp	屵
szssh	冊
szssh	皿
szssh	罒
szszh	冋
szszh	凹
szszs	邖
szszp	屴
szszp	屶
szszp	屷
szpnh	囚
szpzh	四
szzhh	囙
szzhz	囘
szzsz	冎
szznh	囜
phhhz	钅
phhsh	玍
phhsh	生
phhpn	失
phhpn	矢
phhzp	氕
phshh	乍
phspn	尓
phspn	禾
phpss	刋
phpzn	叐
phzss	刉
pshhh	仨
pshhs	仠
pshsh	丘
pshsh	仕
pshsh	仜
pshsn	付
pshpn	仗
pshzn	代
psshh	仩
psspn	仦
psszs	仙
psphs	仟
psphz	仛
psphz	仡
pspzn	仢
pspzn	仫
pspzn	伋
psnsz	们
psnpn	仪
pszhh	白
pszsh	仔
pszsz	他
pszpn	仞
pszpn	仭
pphsn	斥
pphzz	卮
ppznn	瓜
pnhsh	仝
pnhzh	仺
pnspn	尒
pnszs	仚
pnszs	屳
pnphs	乎
pnpnh	丛
pnnzn	令
pnnzn	込
pzhhs	用
pzhhz	甩
pzhhz	肊
pzhzs	印
pzhzn	氐
pzspn	乐
pzspn	尔
pzszh	句
pzszh	叴
pzszs	凧
pzppn	匆
pzppz	犰
pzpnz	匃
pzpzh	册
pzpzs	卯
pzpzn	匇
pzpzz	犯
pznhz	匄
pznsn	处
pznsn	外
pznpz	処
pznnn	冬
pznzh	鸟
pznzs	夘
pznzs	邜
pznzp	务
pznzz	夗
pzzhh	刍
pzzhs	饤
pzzhz	包
pzzpz	饥
nhhsh	主
nhhsh	冮
nhszs	市
nhphs	庁
nhppn	庂
nhppz	庀
nhpnh	疒
nhpzs	邝
nhpzn	広
nhnph	立
nhzzh	冯
nhzzs	邙
nhzzn	玄
nszpn	氷
nszpn	闪
nphhh	兰
nphhs	半
nnhhs	汀
nnhhs	汁
nnhhz	汅
nnhhz	汇
nnhsz	乧
nnhpn	头
nnhpn	汃
nnhpn	汄
nnhpz	氿
nnhzh	汈
nnhzp	氻
nnhzn	汉
nnhzz	氾
nnshs	忊
nnszp	忇
nnszp	忉
nnzhs	宁
nnzpn	穴
nnzpz	宂
nnzpz	它
nnzpz	宄
nzhhs	讦
nzhsh	讧
nzhsn	讨
nzhpz	戹
nzhzh	写
nzshh	让
nzspn	衤
nzsnz	礼
nzszs	冚
nzszs	讪
nzphz	讫
nzphz	讬
nzpss	训
nznpn	必
nznpn	议
nzzhs	讯
nzzhz	记
nzzpn	永
nzzpn	讱
zhszh	司
zhszn	叏
zhppz	凥
zhppz	尻
zhppz	尼
zhzhz	民
zhzps	弗
zhzzs	邔
zhzzn	弘
zshpn	疋
zshpz	阢
zsszh	叾
zsszs	出
zsphs	阡
zsphz	阣
zsnzn	辽
zszhs	阠
zszsz	阤
zszpn	氶
zszpn	氹
zphhs	奵
zphzs	邚
zphzp	奶
zphzn	奴
zpssh	丱
zpspn	尕
zpszh	加
zpszh	召
zpszn	皮
zpnzn	辸
zpnzn	边
zpnzn	辺
zpzsh	孕
zpznn	发
znhsh	圣
znhsn	对
znhps	弁
znspn	厼
znszh	台
znppn	癶
znzsp	矛
zzhzs	纠
zzhzn	驭
zznhn	母
zznzp	幼
zzzzh	丝
zzzzn	廵
hhhhzn	弎
hhhhzn	弐
hhhshz	匡
hhhspn	耒
hhhpzs	邦
hhshhs	玎
hhshpn	兲
hhshpn	玐
hhshpz	玑
hhshzp	玏
hhshzn	丟
hhshzn	式
hhsnzn	迀
hhsnzn	迂
hhphhs	幵
hhpsss	刑
hhpszs	邢
hhpnzs	邞
hhpzss	刓
hhpzpn	戎
hhpzzs	邧
hhnznn	忈
hhznzp	动
hhznzn	迃
hshhhs	圩
hshhhs	扜
hshhhs	扞
hshhhz	圬
hshhhz	扝
hshhsh	圭
hshhsh	扗
hshhsh	扛
hshhsn	圷
hshhsn	寺
hshhpn	扙
hshhpz	扤
hshshh	圵
hshssh	卋
hshszh	吉
hshszh	扣
hshszs	圸
hshphs	圲
hshphs	扦
hshphz	圪
hshphz	圫
hshphz	托
hshphz	扢
hshphz	扥
hshphz	考
hshpss	圳
hshppz	老
hshpzn	圴
hshpzn	圾
hshpzn	巩
hshpzn	扚
hshpzn	执
hshpzn	扱
hshnhp	圹
hshnhp	扩
hshnsz	扪
hshnpn	赱
hshzhh	扫
hshzhs	扟
hshzhz	圮
hshzhz	圯
hshzsz	地
hshzsz	扡
hshzpp	场
hshzpp	扬
hshzpn	扨
hshznn	扠
hsshhh	耳
hsshhs	芉
hsshhs	芋
hsshhz	芌
hsshsh	芏
hsshsn	芐
hsshpn	共
hsshpn	芖
hsshzn	芅
hssszs	芇
hssphs	芊
hsspzn	芃
hsspzn	芄
hsspzn	芍
hsspzn	芕
hsspzn	芨
hssnhz	芒
hssnph	亚
hssnzn	芝
hsszhz	芎
hsszhz	芑
hsszsh	芓
hssznn	芆
hsszzp	芗
hspnhs	朾
hspnhz	朽
hspnsn	朴
hspnpn	朲
hspnpn	朳
hspnpn	杁
hspnpz	朹
hspnpz	机
hspnpz	朼
hspnzs	朻
hspnzp	朷
hspnzp	朸
hspnzn	权
hsnnzn	过
hszhhh	亘
hszhsz	臣
hszhpn	吏
hszshh	再
hszssh	襾
hszssh	覀
hszspn	朿
hszszs	両
hszpnn	协
hszpzh	西
hsznnh	亙
hsznzp	攰
hphshn	压
hphpnn	厌
hphzhs	厍
hphzsp	厊
hphzpn	戌
hpshsh	在
hpszhh	有
hpszhh	百
hpszhz	乭
hpszsh	存
hpszss	而
hpszpn	页
hpphsz	匠
hpnhhz	夸
hpnhsh	圶
hpnhsn	夺
hpnhpn	夶
hpnspn	夵
hpnszh	夻
hpnpss	夼
hpnppn	灰
hpnzpn	戍
hpzppz	匢
hpzpzn	尥
hpznss	列
hpznpz	死
hpzzpn	成
hnhpzz	匟
hnphpn	夹
hzhzpn	夷
hzshpz	轨
hzspzs	邪
hzszzs	邨
hzphpn	攷
hzphpz	尧
hzpnss	划
hzpnzn	迈
hzpzhs	毕
hznhsh	至
hzznhs	瓧
hzznzs	邷
shhspn	尗
shhpzh	丠
shshpz	此
shszhz	乩
shszpn	贞
shzphz	虍
sphszs	师
spnhsh	尘
spnhpn	尖
spnpzp	劣
snphpz	光
snpzhh	当
szhhhs	吁
szhhhs	早
szhhhs	旪
szhhsh	叿
szhhsh	吐
szhhsn	吋
szhhsn	吓
szhhpz	旯
szhhzp	旫
szhhzp	曳
szhshn	虫
szhssh	曲
szhsph	团
szhsnh	団
szhszh	吅
szhszh	同
szhszh	吕
szhszs	吊
szhphs	吀
szhphz	吃
szhphz	吒
szhpnh	因
szhpzn	吸
szhnps	吖
szhzsh	吇
szhzsz	吔
szhzzh	吗
szhzzn	吆
szshhs	屽
szshsh	屸
szshpz	屼
szshzh	屿
szsszs	屾
szsszs	岀
szsphz	屹
szspzn	岁
szspzn	岋
szspzn	岌
szspzn	帆
szsnzn	辿
szszhh	回
szszhz	屺
szszhz	岂
szszpn	屻
szszpn	岃
szpnss	则
szpnss	刚
szpnpn	氼
szpnpn	网
szpnpn	肉
szpnzs	凼
szzshh	囝
szzphh	囡
phhhzz	钆
phhhzz	钇
phhshs	年
phhspn	朱
phhszs	缶
phhszp	劧
phhzss	刏
phhzps	氘
phhzpn	気
phhzzp	氖
phshpz	先
phshpz	牝
phshzp	牞
phshzn	丢
phshzn	廷
phsszh	舌
phsphs	竹
phsnzn	迁
phphsh	圱
phpnps	乔
phznzn	迄
phzzsh	毎
pshhhs	仹
pshhsh	仼
pshhpn	伕
pshhzs	伟
pshhzn	伝
pshhzn	传
pshshp	乒
pshshn	乓
pshspn	休
pshszh	伍
pshszs	伂
pshszn	伎
pshpsn	伓
pshpnn	伏
pshpnz	伛
pshpzn	伖
pshpzn	优
pshpzz	伌
pshzhh	臼
pshzhs	伡
pshzhz	佢
pshzsp	伢
pshzsz	伅
pshzpn	伐
pshzpz	仳
pshzzh	仾
pshzzn	佤
pshzzn	延
psspnp	仯
psszhs	仲
psszpz	伣
psphhs	仵
psphhs	件
psphsh	任
psphpn	仸
psphzp	伤
psphzn	伥
pspphs	伒
pspppn	乑
psppzn	仮
pspnps	价
pspnpz	伦
pspnnz	仱
pspnzp	份
pspnzn	伀
pspnzz	伧
pspzhh	仴
pspzhs	伜
pspzhs	华
pspzpp	伆
pspznh	伨
pspzzs	仰
pspzzn	伇
psnhpn	伩
psnhpz	伉
psnhzp	仿
psnppn	伙
psnpzn	伪
psnnzh	伫
psnzpz	伔
psnznn	伈
pszhhh	自
pszhhp	伊
pszhhz	癿
pszhsh	甶
pszhpn	伬
pszhzs	伄
pszssh	血
pszszh	向
pszpnh	囟
psznpn	似
psznzs	伃
pphszh	后
pphszs	邤
pphszp	劤
ppshhs	行
ppspzn	彴
ppspzn	彶
ppszsz	彵
ppzhhs	甪
ppznhn	舟
pnhhsh	全
pnhhzn	会
pnhspn	杀
pnhszh	合
pnhzpn	兆
pnshsh	企
pnszpn	氽
pnszpn	汆
pnphsz	乯
pnpnpn	众
pnpnzs	爷
pnnphs	伞
pnzspz	兇
pnzpzs	邠
pnznpz	兊
pnzzss	创
pzhhss	刖
pzhhpz	肌
pzhhpz	肍
pzhhzp	肋
pzhhzn	凨
pzhspn	凩
pzhspn	朵
pzhspn	杂
pzhpzn	夙
pzhpzz	危
pzhzhs	氒
pzshsh	凪
pzszhh	旨
pzszhh	旬
pzszhh	旭
pzszhh	旮
pzszpn	负
pzphhs	犴
pzphsp	犲
pzpphz	犵
pzppss	刎
pzppzn	犱
pzppzn	犳
pzpnhp	犷
pzpnzs	匈
pzpzsz	乮
pzpzzh	犸
pznhss	刐
pznhzs	夅
pznhzs	舛
pznszh	各
pznszh	名
pznppn	灳
pznpzn	多
pznzph	奿
pznzpz	凫
pzzhhs	争
pzzhzs	邬
pzzshz	色
pzzphz	饦
pzzzpp	饧
nhhzsp	冴
nhhzzh	冱
nhshsh	壮
nhszhs	冲
nhszph	妆
nhszpn	冰
nhphsh	庄
nhphpn	庆
nhpspn	亦
nhppzn	庅
nhpnss	刘
nhpnps	齐
nhpnpn	交
nhpzpn	次
nhpzpn	衣
nhpzzs	邟
nhpzzp	劥
nhnphp	产
nhzhpn	决
nhzszh	吂
nhzpsz	巟
nhzppn	亥
nhzpzs	邡
nhznpz	充
nhzzph	妄
nszhhh	闫
nszhhs	闬
nszhsp	闭
nszszh	问
nszzzh	闯
nphhhs	羊
nphhps	并
nphhpn	关
nphspn	米
nphzsp	屰
nppnhs	灯
nppnss	灲
nppnpz	灮
nppnzs	邩
nppnzp	灱
npnsns	州
npzhzs	弚
nnhhhs	汗
nnhhhs	汙
nnhhhz	汚
nnhhhz	污
nnhhsh	江
nnhhsh	汢
nnhhpn	汏
nnhszs	汕
nnhphs	汘
nnhphz	汑
nnhphz	汔
nnhpss	汌
nnhpzn	汋
nnhpzn	汍
nnhpzn	汎
nnhpzn	汐
nnhpzn	汣
nnhpzn	汲
nnhpzn	汷
nnhnhz	汒
nnhzhs	汛
nnhzhz	汜
nnhzsh	汓
nnhzsz	池
nnhzph	汝
nnhzpp	汤
nnhznn	汊
nnshhs	忓
nnshsn	忖
nnshpn	忕
nnsphs	忏
nnsphz	忔
nnspzn	忛
nnspzn	忣
nnsnhz	忙
nnszhz	忋
nnszsz	忚
nnphpn	兴
nnzhhs	宇
nnzhsn	守
nnzphz	宅
nnzpnz	穵
nnzzhz	宆
nnzzsh	字
nnzzph	安
nzhhps	讲
nzhhzs	讳
nzhpnz	讴
nzhzhs	军
nzhzhz	讵
nzhzsp	讶
nzsnzs	祁
nzsnzp	礽
nzszhh	肎
nzszpn	讷
nzphhs	许
nzpspz	讹
nzpnpz	论
nzpnzs	讻
nzpnzn	讼
nzpzpn	农
nzpzpn	讽
nzpzzs	邥
nzpzzn	设
nznhzp	访
nzzhpn	诀
zhhhhs	聿
zhhhsn	寻
zhhszs	帇
zhhpzs	那
zhhpzn	夛
zhhzpn	艮
zhshzn	厾
zhsnzn	迅
zhpnss	刔
zhpnnn	尽
zhpnzn	迉
zhzhhs	弙
zhzhsn	导
zhzhps	异
zhzzhz	弜
zhzzsz	弛
zhzzph	妀
zshhps	阱
zshhpz	阮
zshspn	孙
zshpsn	阫
zshpzz	阨
zshzhs	阵
zshzsh	孖
zshzpz	阰
zsshsh	阯
zsszhh	阳
zsszpn	阥
zsphps	阩
zsphpn	收
zsppzn	阪
zspnps	阶
zspzhh	阴
zspzss	艸
zsnhpz	阬
zsnhzp	防
zsnppn	阦
zsnnhs	阧
zszhsh	乪
zszpnh	丞
zsznpz	阭
zsznzn	迆
zphhhs	奸
zphhsh	妅
zphspn	朶
zphszh	如
zphszs	奾
zphphs	奷
zphphz	奼
zphpzn	奺
zphpzn	妁
zphzhh	妇
zphzhz	妃
zphzsh	好
zphzsz	她
zphzph	奻
zphzzh	妈
zpszhz	乫
zpzpzp	刕
zpzpzp	劦
znhzpn	戏
znhznh	羽
znszhz	乨
znszpn	贠
znszpz	观
znphhs	牟
znpzpn	欢
znnhpn	买
znznzn	厽
znznzn	叒
zzhhhs	纡
zzhhsh	红
zzhhsn	纣
zzhhpn	驮
zzhphs	纤
zzhphz	纥
zzhpss	驯
zzhpzn	约
zzhpzn	级
zzhpzn	纨
zzhnhp	纩
zzhzhz	纪
zzhzsz	驰
zzhzpn	纫
zznspn	糸
zznnnn	糹
zzznzn	巡
hhhshnz	匤
hhhphsn	寿
hhshhhs	玕
hhshhhs	玗
hhshhsh	玒
hhshhps	弄
hhshhzh	玙
hhshpss	玔
hhshpzn	玓
hhshpzn	玖
hhshpzn	麦
hhshnzn	迋
hhshzhz	玘
hhshzpp	玚
hhshzzh	玛
hhsphpn	攼
hhpshsh	坓
hhpsppp	形
hhpsnzn	进
hhpszpn	戒
hhpnszh	吞
hhpnnzn	迗
hhpzhsh	坖
hhpznzn	远
hhzsnzn	违
hhzszpn	韧
hhzpnss	刬
hhznnzn	运
hshhhsh	抂
hshhhpn	扶
hshhhpz	坃
hshhhpz	抏
hshhhpz	抚
hshhhzn	坛
hshhhzn	抎
hshhhzn	抟
hshhhzn	镸
hshhszn	技
hshhpsn	坏
hshhpsn	抔
hshhpnz	抠
hshhpzp	坜
hshhpzn	扰
hshhpzn	抜
hshhpzz	扼
hshhzhz	拒
hshhzsz	坉
hshhzsz	扽
hshhzpn	找
hshhzpz	批
hshhzzh	坘
hshhzzn	瓨
hshshsh	址
hshshsh	扯
hshshpn	走
hshspnp	抄
hshszhh	抇
hshszpn	坝
hshszpn	抐
hshszpn	汞
hshszpn	贡
hshphhs	抙
hshphps	抍
hshphpn	坆
hshphpn	扷
hshphpn	攻
hshpshz	扸
hshpspn	赤
hshpphs	圻
hshpphs	折
hshppsn	抓
hshppzn	坂
hshppzn	扳
hshpnps	圿
hshpnps	扴
hshpnpz	抡
hshpnnn	扵
hshpnnz	坅
hshpnnz	扲
hshpnzp	坋
hshpnzp	扮
hshpnzn	抸
hshpnzz	抢
hshpzhh	抈
hshpzhz	坁
hshpzhz	扺
hshpzsh	孝
hshpzpp	圽
hshpzpn	坎
hshpzpn	扻
hshpznh	均
hshpznh	坍
hshpznh	抣
hshpzzh	坞
hshpzzs	抑
hshpzzp	抛
hshpzzn	坄
hshpzzn	抅
hshpzzn	投
hshnhsn	抃
hshnhpn	坟
hshnhpn	抆
hshnhpz	坑
hshnhpz	抗
hshnhzp	坊
hshnppn	灻
hshnnhs	抖
hshnzhp	护
hshnzpz	坈
hshnzpz	壱
hshnzpz	売
hshnzpz	壳
hshnzpz	抌
hshnznn	志
hshnznn	抋
hshzhpn	块
hshzhpn	抉
hshzhpn	択
hshzshh	扭
hshzshp	声
hshzshz	把
hshzszn	报
hshznss	刦
hshznpn	拟
hshznpz	抁
hshznzs	却
hshznzs	抒
hshznzp	刧
hshznzp	劫
hshzzph	毐
hshzznz	抝
hsshhhs	芈
hsshhhz	耴
hsshhps	茾
hsshhpn	芙
hsshhpz	芜
hsshhpz	芫
hsshhzs	苇
hsshhzs	邯
hsshhzn	芸
hsshszs	芾
hsshszn	芰
hsshpsn	芣
hsshpzp	苈
hsshpzn	苃
hsshpzz	苉
hsshpzz	苊
hsshzhz	苣
hsshzsp	芽
hsshzsz	芚
hsshzpz	芘
hsshzzp	苆
hssshsh	芷
hssszpn	芮
hssszpz	苋
hssphhz	芞
hssphhz	芼
hssphpn	芺
hssphzn	苌
hsspshh	芢
hsspspz	花
hsspszp	芿
hsspphs	芹
hsspnss	苅
hsspnps	芥
hsspnpn	苁
hsspnpz	芲
hsspnnz	芩
hsspnzp	芬
hsspnzz	苍
hsspzhz	芪
hsspzpp	芴
hsspzpn	芡
hsspzzn	芟
hsspzzn	芶
hssnhsn	苄
hssnhpn	芠
hssnhpz	苀
hssnhzp	芳
hssnphp	严
hssnppn	苂
hssnnzh	苎
hssnzhp	芦
hssnznn	芯
hssnzzp	劳
hsszhhp	芛
hsszhpn	芵
hsszhpz	克
hsszshz	芤
hsszshz	芭
hsszpnn	苏
hssznpn	苡
hssznzs	芧
hspnhhs	杅
hspnhhs	杆
hspnhhz	杇
hspnhsh	杜
hspnhsh	杠
hspnhsh	杢
hspnhsp	材
hspnhsn	村
hspnhpn	杕
hspnhpn	杖
hspnhpz	杌
hspnhzp	杤
hspnhzn	杙
hspnszh	杏
hspnszs	杣
hspnphs	杄
hspnphz	杔
hspnphz	杚
hspnpss	杊
hspnppp	杉
hspnpnh	巫
hspnpzn	杋
hspnpzn	杓
hspnpzn	杦
hspnpzn	极
hspnnhz	杧
hspnzhz	杛
hspnzhz	杞
hspnzsh	杍
hspnzsh	李
hspnzsz	杝
hspnzpp	杨
hspnzpn	杒
hspnznn	杈
hspnzzh	杩
hsnhpnn	求
hsnnznn	忑
hsnzzsh	孛
hszhhhs	車
hszhhsn	甫
hszhhsz	匣
hszhhpn	更
hszhssh	亜
hszhspn	束
hszhszh	吾
hszhszn	叓
hszhnph	豆
hszhzpn	戓
hszsnzn	迊
hszpnpn	两
hszpnzs	邴
hszpzhh	酉
hsznszn	丽
hphhpnz	医
hphhzpn	辰
hphpzpn	厐
hphzpzp	励
hpshhpz	兏
hpshzzh	丣
hpsnhpn	奀
hpsnhzs	邳
hpsnszh	否
hpsnnzn	还
hpszhhs	矴
hpszhss	矵
hpszhpz	厑
hpszhpz	矶
hpszhzp	劯
hpphshh	厏
hppzhzn	厎
hpnhhzn	夽
hpnhpnz	奁
hpnhzhz	奆
hpnpnpn	夾
hpnnnzn	迏
hpnnnzn	迖
hpnzshz	夿
hpzhhsh	尪
hpzhhsh	尫
hpzpppn	尨
hpzpppn	豕
hpzpnps	尬
hpznphs	歼
hnphspn	来
hnpzhhs	亊
hnznnzn	忒
hzhsnzn	连
hzhpzpn	欤
hzshhhs	轩
hzshhpn	轪
hzshzpn	轫
hzspnzn	迓
hzsznzn	迍
hzpzhsh	坒
hznhpsz	匥
hzznphs	瓩
hzzzhsh	坙
hzzzhsh	巠
shhhzzs	邶
shhnznn	忐
shshspp	步
shszpnh	卤
shszzhh	卣
ssnphzs	邺
sszhhpz	児
ssznhsh	坚
snszssh	盀
snpszhh	肖
szhhhhs	旰
szhhhhs	旱
szhhhhs	旴
szhhhhs	盯
szhhhsh	呈
szhhhsh	圼
szhhhss	刞
szhhhsn	时
szhhhps	咞
szhhhpn	吴
szhhhpn	呋
szhhhpn	旲
szhhhpn	貝
szhhhpz	呒
szhhhpz	見
szhhhzp	助
szhhhzn	县
szhhhzn	呍
szhhshh	囯
szhhshh	里
szhhssz	呓
szhhspn	呆
szhhszs	旵
szhhszn	吱
szhhpsh	囲
szhhpsn	吥
szhhpnn	吠
szhhpnn	呔
szhhpnz	呕
szhhpzh	园
szhhpzp	呖
szhhpzn	吰
szhhpzn	旳
szhhpzn	昅
szhhpzz	呃
szhhnhp	旷
szhhzsh	围
szhhzsp	呀
szhhzsz	吨
szhhzph	妟
szhhzpp	旸
szhhzpn	曵
szhhzpz	吡
szhhznh	囩
szhhzzn	咓
szhshhs	町
szhshhs	甼
szhshhz	甹
szhshpn	足
szhshnz	虬
szhshzs	邮
szhshzp	男
szhshzn	廸
szhspnh	困
szhspnp	吵
szhsnzn	迚
szhszhh	肙
szhszhs	串
szhszpn	吶
szhszpn	呐
szhszpn	呗
szhszpn	员
szhszpn	呙
szhphhs	吘
szhphhs	吽
szhphps	呏
szhphpn	呚
szhpspz	吪
szhpsnh	囨
szhpszh	呂
szhpphs	听
szhpnps	吤
szhpnnz	吟
szhpnzp	吩
szhpnzz	呛
szhpzss	別
szhpzpp	吻
szhpzpn	吹
szhpznh	呁
szhpzzh	呜
szhpzzn	吺
szhnhpn	呅
szhnhpz	吭
szhnppn	吙
szhnnhs	呌
szhnznn	吣
szhzhhp	吚
szhzhpn	吳
szhzhpn	吷
szhzhpn	呉
szhzhpn	呎
szhzhzs	吲
szhzshh	吜
szhzshz	吧
szhzshz	吼
szhzshz	邑
szhzszh	囤
szhzpss	别
szhznpz	吮
szshhps	岍
szshhpz	岏
szshhzs	帏
szshszn	岐
